episode_index,init_state_id,seed,model_call_index,control_step,latency_ms
10,40,1040,0,0,161.17458092048764
10,40,1040,1,10,160.24820692837238
10,40,1040,2,20,203.38845811784267
10,40,1040,3,30,207.91972801089287
10,40,1040,4,40,215.9574399702251
10,40,1040,5,50,214.56796117126942
10,40,1040,6,60,218.65349588915706
10,40,1040,7,70,162.93045599013567
10,40,1040,8,80,160.15321156010032
10,40,1040,9,90,195.6570320762694
10,40,1040,10,100,210.44523920863867
10,40,1040,11,110,218.89083879068494
10,40,1040,12,120,159.81408022344112
10,40,1040,13,130,160.39824998006225
10,40,1040,14,140,160.82477709278464
10,40,1040,15,150,161.17213340476155
10,40,1040,16,160,160.3163331747055
10,40,1040,17,170,160.07475275546312
10,40,1040,18,180,159.89587968215346
10,40,1040,19,190,160.6824486516416
10,40,1040,20,200,219.85650900751352
10,40,1040,21,210,159.77646503597498
10,40,1040,22,220,159.8308370448649
10,40,1040,23,230,202.34519569203258
10,40,1040,24,240,219.36683682724833
10,40,1040,25,250,161.47773526608944
10,40,1040,26,260,160.5294719338417
11,41,1041,0,0,160.31985078006983
11,41,1041,1,10,159.98883079737425
11,41,1041,2,20,159.02217011898756
11,41,1041,3,30,159.92541704326868
11,41,1041,4,40,159.81461480259895
11,41,1041,5,50,158.64609088748693
11,41,1041,6,60,159.50882807374
11,41,1041,7,70,159.0335457585752
11,41,1041,8,80,159.01918010786176
11,41,1041,9,90,159.97992688789964
11,41,1041,10,100,159.59759196266532
11,41,1041,11,110,159.48224533349276
11,41,1041,12,120,217.43547869846225
11,41,1041,13,130,218.2055450975895
11,41,1041,14,140,211.54725784435868
11,41,1041,15,150,209.78188700973988
11,41,1041,16,160,210.5122529901564
11,41,1041,17,170,190.93119213357568
11,41,1041,18,180,190.34536089748144
11,41,1041,19,190,159.3668912537396
11,41,1041,20,200,198.02597211673856
11,41,1041,21,210,198.8566918298602
11,41,1041,22,220,160.25890596210957
11,41,1041,23,230,210.8496050350368
11,41,1041,24,240,159.43349665030837
11,41,1041,25,250,159.49828596785665
11,41,1041,26,260,159.51461717486382
11,41,1041,27,270,217.6419268362224
11,41,1041,28,280,182.90935782715678
11,41,1041,29,290,158.82742078974843
11,41,1041,30,300,159.52835697680712
11,41,1041,31,310,159.435223788023
11,41,1041,32,320,208.0977582372725
11,41,1041,33,330,215.40751401335
11,41,1041,34,340,218.55337172746658
11,41,1041,35,350,215.8662462607026
11,41,1041,36,360,209.13659408688545
11,41,1041,37,370,158.679380081594
11,41,1041,38,380,159.41969538107514
11,41,1041,39,390,159.82093010097742
11,41,1041,40,400,158.75714784488082
11,41,1041,41,410,159.2820631340146
11,41,1041,42,420,159.6205309033394
11,41,1041,43,430,201.47878490388393
11,41,1041,44,440,159.9550130777061
11,41,1041,45,450,158.38067326694727
11,41,1041,46,460,159.19138304889202
11,41,1041,47,470,159.07993586733937
11,41,1041,48,480,158.72304793447256
11,41,1041,49,490,158.25404226779938
11,41,1041,50,500,218.83427305147052
11,41,1041,51,510,200.56118490174413
12,42,1042,0,0,160.5439279228449
12,42,1042,1,10,217.44734281674027
12,42,1042,2,20,208.05738726630807
12,42,1042,3,30,159.9404369480908
12,42,1042,4,40,159.15966778993607
12,42,1042,5,50,158.79035089164972
12,42,1042,6,60,159.33225909247994
12,42,1042,7,70,159.5742809586227
12,42,1042,8,80,159.857171587646
12,42,1042,9,90,210.0145942531526
12,42,1042,10,100,210.46535903587937
12,42,1042,11,110,200.22805500775576
12,42,1042,12,120,158.88127172365785
12,42,1042,13,130,211.0407860018313
12,42,1042,14,140,217.47171878814697
12,42,1042,15,150,160.1497749798
12,42,1042,16,160,159.38672702759504
12,42,1042,17,170,158.8586657308042
12,42,1042,18,180,159.0013517998159
12,42,1042,19,190,159.35565205290914
12,42,1042,20,200,159.2405317351222
12,42,1042,21,210,159.949139226228
12,42,1042,22,220,159.17604183778167
12,42,1042,23,230,159.24052707850933
12,42,1042,24,240,159.21004908159375
12,42,1042,25,250,159.701697062701
12,42,1042,26,260,159.3808252364397
12,42,1042,27,270,158.99380575865507
12,42,1042,28,280,158.82123820483685
12,42,1042,29,290,159.67421792447567
12,42,1042,30,300,159.5021658577025
12,42,1042,31,310,158.8545609265566
13,43,1043,0,0,161.50988126173615
13,43,1043,1,10,171.11302400007844
13,43,1043,2,20,161.57234692946076
13,43,1043,3,30,160.72807786986232
13,43,1043,4,40,161.07195802032948
13,43,1043,5,50,160.98542232066393
13,43,1043,6,60,161.31634591147304
13,43,1043,7,70,213.95782101899385
13,43,1043,8,80,161.2468040548265
13,43,1043,9,90,161.20271431282163
13,43,1043,10,100,201.06066204607487
13,43,1043,11,110,204.4140393845737
13,43,1043,12,120,161.45720891654491
13,43,1043,13,130,160.8261219225824
13,43,1043,14,140,161.76134487614036
13,43,1043,15,150,161.34436335414648
13,43,1043,16,160,160.84747901186347
13,43,1043,17,170,160.36595264449716
13,43,1043,18,180,159.9767291918397
13,43,1043,19,190,160.8403199352324
13,43,1043,20,200,161.04143392294645
13,43,1043,21,210,160.60785204172134
13,43,1043,22,220,161.26775788143277
13,43,1043,23,230,160.42650723829865
13,43,1043,24,240,204.1187873110175
13,43,1043,25,250,163.19988807663321
13,43,1043,26,260,204.71086725592613
13,43,1043,27,270,160.31511407345533
13,43,1043,28,280,160.96259793266654
13,43,1043,29,290,161.26969968900084
13,43,1043,30,300,160.7073131017387
14,44,1044,0,0,161.567656788975
14,44,1044,1,10,160.69161798804998
14,44,1044,2,20,159.99324107542634
14,44,1044,3,30,200.2723440527916
14,44,1044,4,40,218.36196491494775
14,44,1044,5,50,160.0266620516777
14,44,1044,6,60,160.73179990053177
14,44,1044,7,70,159.6596953459084
14,44,1044,8,80,159.80291971936822
14,44,1044,9,90,160.17786087468266
14,44,1044,10,100,202.60768989101052
14,44,1044,11,110,159.3846557661891
14,44,1044,12,120,160.1089690811932
14,44,1044,13,130,209.60086304694414
14,44,1044,14,140,161.66361002251506
14,44,1044,15,150,160.63979687169194
14,44,1044,16,160,159.85336620360613
14,44,1044,17,170,159.87684903666377
14,44,1044,18,180,215.69641306996346
14,44,1044,19,190,219.843459315598
14,44,1044,20,200,221.51660919189453
14,44,1044,21,210,160.1177821867168
14,44,1044,22,220,160.1792168803513
14,44,1044,23,230,187.55151191726327
14,44,1044,24,240,159.5510160550475
14,44,1044,25,250,160.3432628326118
14,44,1044,26,260,159.8752671852708
14,44,1044,27,270,160.86719604209065
14,44,1044,28,280,160.00603884458542
15,45,1045,0,0,161.9168990291655
15,45,1045,1,10,160.23807413876057
15,45,1045,2,20,160.7641759328544
15,45,1045,3,30,160.85029719397426
15,45,1045,4,40,160.71924287825823
15,45,1045,5,50,160.91636708006263
15,45,1045,6,60,161.54979122802615
15,45,1045,7,70,160.6640461832285
15,45,1045,8,80,160.55833594873548
15,45,1045,9,90,212.24438026547432
15,45,1045,10,100,160.91515123844147
15,45,1045,11,110,160.78852489590645
15,45,1045,12,120,160.08259588852525
15,45,1045,13,130,210.8814180828631
15,45,1045,14,140,199.55919310450554
15,45,1045,15,150,210.93269297853112
15,45,1045,16,160,220.34381702542305
15,45,1045,17,170,218.7888529151678
15,45,1045,18,180,159.5495119690895
15,45,1045,19,190,161.90049797296524
15,45,1045,20,200,160.41425382718444
15,45,1045,21,210,159.96684785932302
15,45,1045,22,220,159.66570330783725
15,45,1045,23,230,160.7152041979134
15,45,1045,24,240,160.5919129215181
15,45,1045,25,250,160.89937463402748
15,45,1045,26,260,160.31166072934866
15,45,1045,27,270,161.92612471058965
16,46,1046,0,0,161.38056199997663
16,46,1046,1,10,161.02992370724678
16,46,1046,2,20,160.2529720403254
16,46,1046,3,30,159.71986716613173
16,46,1046,4,40,160.61895992606878
16,46,1046,5,50,160.49416735768318
16,46,1046,6,60,160.15090979635715
16,46,1046,7,70,159.6812093630433
16,46,1046,8,80,162.1123719960451
16,46,1046,9,90,187.6785708591342
16,46,1046,10,100,159.93796894326806
16,46,1046,11,110,160.04637582227588
16,46,1046,12,120,160.3892846032977
16,46,1046,13,130,160.32026475295424
16,46,1046,14,140,160.38419073447585
16,46,1046,15,150,159.907644148916
16,46,1046,16,160,160.34853272140026
16,46,1046,17,170,160.27464903891087
16,46,1046,18,180,160.3510919958353
16,46,1046,19,190,160.32832395285368
16,46,1046,20,200,160.55168863385916
16,46,1046,21,210,159.98758096247911
16,46,1046,22,220,159.29107321426272
16,46,1046,23,230,159.93145806714892
16,46,1046,24,240,159.97882885858417
16,46,1046,25,250,199.15460608899593
16,46,1046,26,260,203.01478821784258
16,46,1046,27,270,159.53729720786214
16,46,1046,28,280,160.3265809826553
16,46,1046,29,290,159.7870523110032
17,47,1047,0,0,161.61037562415004
17,47,1047,1,10,160.3190922178328
17,47,1047,2,20,160.51573306322098
17,47,1047,3,30,211.91478101536632
17,47,1047,4,40,161.30748018622398
17,47,1047,5,50,160.74589593335986
17,47,1047,6,60,171.466622967273
17,47,1047,7,70,161.20918095111847
17,47,1047,8,80,160.9346908517182
17,47,1047,9,90,160.93757934868336
17,47,1047,10,100,160.9781482256949
17,47,1047,11,110,161.04682628065348
17,47,1047,12,120,160.72422172874212
17,47,1047,13,130,160.80961283296347
17,47,1047,14,140,160.9619320370257
17,47,1047,15,150,161.495269741863
17,47,1047,16,160,160.90124612674117
17,47,1047,17,170,161.9277917779982
17,47,1047,18,180,160.40424909442663
17,47,1047,19,190,161.01840883493423
17,47,1047,20,200,161.42583824694157
17,47,1047,21,210,160.5362561531365
17,47,1047,22,220,159.8878800868988
17,47,1047,23,230,161.20950784534216
17,47,1047,24,240,160.56645289063454
17,47,1047,25,250,161.35055804625154
17,47,1047,26,260,161.20655089616776
17,47,1047,27,270,161.14995768293738
18,48,1048,0,0,161.38834925368428
18,48,1048,1,10,161.22538316994905
18,48,1048,2,20,161.0915712080896
18,48,1048,3,30,162.18809317797422
18,48,1048,4,40,210.36988124251366
18,48,1048,5,50,160.99106101319194
18,48,1048,6,60,161.70439776033163
18,48,1048,7,70,162.6199521124363
18,48,1048,8,80,161.091442219913
18,48,1048,9,90,160.02870677039027
18,48,1048,10,100,161.61339404061437
18,48,1048,11,110,161.28576267510653
18,48,1048,12,120,200.64916601404548
18,48,1048,13,130,197.58182018995285
18,48,1048,14,140,220.47570208087564
18,48,1048,15,150,161.69495321810246
18,48,1048,16,160,162.19694586470723
18,48,1048,17,170,162.34572511166334
18,48,1048,18,180,161.19448794052005
18,48,1048,19,190,161.88469622284174
18,48,1048,20,200,160.40375968441367
18,48,1048,21,210,160.77593713998795
18,48,1048,22,220,159.95460096746683
18,48,1048,23,230,160.48674518242478
18,48,1048,24,240,160.07551923394203
19,49,1049,0,0,161.32944729179144
19,49,1049,1,10,163.6233408935368
19,49,1049,2,20,159.6884331665933
19,49,1049,3,30,160.48315493389964
19,49,1049,4,40,159.60915805771947
19,49,1049,5,50,160.39483807981014
19,49,1049,6,60,207.8006980009377
19,49,1049,7,70,209.78357223793864
19,49,1049,8,80,160.91513307765126
19,49,1049,9,90,160.07905080914497
19,49,1049,10,100,161.44416481256485
19,49,1049,11,110,160.6094241142273
19,49,1049,12,120,159.8772290162742
19,49,1049,13,130,159.9231120198965
19,49,1049,14,140,160.67995317280293
19,49,1049,15,150,160.58344906195998
19,49,1049,16,160,162.65177121385932
19,49,1049,17,170,161.00481199100614
19,49,1049,18,180,161.31394170224667
19,49,1049,19,190,163.308538030833
19,49,1049,20,200,162.4933243729174
19,49,1049,21,210,161.60541167482734
19,49,1049,22,220,161.96251474320889
19,49,1049,23,230,160.15197290107608
19,49,1049,24,240,200.0484699383378
19,49,1049,25,250,211.82075794786215
19,49,1049,26,260,201.53037179261446
19,49,1049,27,270,161.80091816931963
19,49,1049,28,280,221.16518719121814
19,49,1049,29,290,193.27455526217818
19,49,1049,30,300,211.21352817863226
19,49,1049,31,310,203.85222416371107
19,49,1049,32,320,162.15140465646982
19,49,1049,33,330,160.40007397532463
19,49,1049,34,340,159.8292221315205
19,49,1049,35,350,160.08772095665336
19,49,1049,36,360,160.3806517086923
19,49,1049,37,370,160.815283190459
19,49,1049,38,380,160.878696013242
19,49,1049,39,390,160.41914327070117
19,49,1049,40,400,161.40676802024245
19,49,1049,41,410,160.69483803585172
19,49,1049,42,420,160.46449122950435
19,49,1049,43,430,160.19892832264304
19,49,1049,44,440,207.95090775936842
19,49,1049,45,450,159.64058274403214
19,49,1049,46,460,160.20400309935212
19,49,1049,47,470,160.88726604357362
19,49,1049,48,480,207.9783221706748
19,49,1049,49,490,159.62342265993357
19,49,1049,50,500,160.17936496064067
19,49,1049,51,510,159.481022041291
