episode_index,seed,model_call_index,control_step,latency_ms
5,1005,13,130,172.05660417675972
5,1005,14,140,161.1542720347643
5,1005,15,150,163.39233005419374
5,1005,16,160,162.6101857982576
5,1005,17,170,161.32612619549036
5,1005,18,180,162.37118188291788
5,1005,19,190,161.2236532382667
5,1005,20,200,161.0728707164526
5,1005,21,210,163.44625502824783
5,1005,22,220,161.77655523642898
5,1005,23,230,161.95431165397167
6,1006,0,0,163.12560066580772
6,1006,1,10,163.749854080379
6,1006,2,20,163.9090939424932
6,1006,3,30,163.94863137975335
6,1006,4,40,163.04772021248937
6,1006,5,50,163.21658808737993
6,1006,6,60,163.3301409892738
6,1006,7,70,163.19364495575428
6,1006,8,80,162.5329563394189
6,1006,9,90,162.1968881227076
6,1006,10,100,162.9467336460948
6,1006,11,110,162.34071413055062
6,1006,12,120,162.12050896137953
6,1006,13,130,162.89263730868697
6,1006,14,140,161.96294641122222
6,1006,15,150,163.23481872677803
6,1006,16,160,162.62643178924918
6,1006,17,170,162.18726988881826
6,1006,18,180,163.62784011289477
6,1006,19,190,162.82422002404928
6,1006,20,200,162.23977971822023
6,1006,21,210,162.74682991206646
6,1006,22,220,197.54767790436745
6,1006,23,230,187.37229891121387
6,1006,24,240,197.12473824620247
6,1006,25,250,162.21030103042722
6,1006,26,260,163.1643627770245
7,1007,0,0,163.62300608307123
7,1007,1,10,163.38980197906494
7,1007,2,20,163.9513853006065
7,1007,3,30,193.08585301041603
7,1007,4,40,165.3251047246158
7,1007,5,50,201.85779873281717
7,1007,6,60,165.63052497804165
7,1007,7,70,162.33953414484859
7,1007,8,80,162.62799128890038
7,1007,9,90,163.38148899376392
7,1007,10,100,162.7165451645851
7,1007,11,110,162.90247905999422
7,1007,12,120,163.2351540029049
7,1007,13,130,162.43522986769676
7,1007,14,140,162.55640983581543
7,1007,15,150,162.47133910655975
7,1007,16,160,163.4887419641018
7,1007,17,170,163.69458800181746
7,1007,18,180,163.32430997863412
7,1007,19,190,163.98435970768332
7,1007,20,200,163.33364602178335
7,1007,21,210,162.76624193415046
7,1007,22,220,162.540087942034
7,1007,23,230,163.33067417144775
8,1008,0,0,164.04348192736506
8,1008,1,10,161.34221898391843
8,1008,2,20,163.58296992257237
8,1008,3,30,162.70394064486027
8,1008,4,40,162.4179482460022
8,1008,5,50,162.62292116880417
8,1008,6,60,162.5038287602365
8,1008,7,70,162.80950792133808
8,1008,8,80,208.736727014184
8,1008,9,90,213.8340137898922
8,1008,10,100,214.32686317712069
8,1008,11,110,163.75905089080334
8,1008,12,120,161.8570634163916
8,1008,13,130,206.32076915353537
8,1008,14,140,205.12967417016625
8,1008,15,150,162.37815702334046
8,1008,16,160,162.2421839274466
8,1008,17,170,162.03849017620087
8,1008,18,180,162.02702512964606
8,1008,19,190,202.8467869386077
8,1008,20,200,162.05400275066495
8,1008,21,210,161.68268071487546
8,1008,22,220,162.32999227941036
8,1008,23,230,162.43896400555968
8,1008,24,240,161.09241778030992
8,1008,25,250,162.32570400461555
8,1008,26,260,162.36529173329473
9,1009,0,0,163.75861410051584
9,1009,1,10,163.1894800812006
9,1009,2,20,162.38410072401166
9,1009,3,30,163.01134368404746
9,1009,4,40,163.81422569975257
9,1009,5,50,163.3471571840346
9,1009,6,60,161.64427902549505
9,1009,7,70,162.83563477918506
9,1009,8,80,163.6488907970488
9,1009,9,90,162.95124683529139
9,1009,10,100,213.85251311585307
9,1009,11,110,163.6859211139381
9,1009,12,120,162.93251095339656
9,1009,13,130,162.53052419051528
9,1009,14,140,162.56830375641584
9,1009,15,150,163.55419997125864
9,1009,16,160,162.25794982165098
9,1009,17,170,202.77326414361596
9,1009,18,180,222.92675636708736
9,1009,19,190,162.74489182978868
9,1009,20,200,162.63846307992935
9,1009,21,210,162.48976299539208
9,1009,22,220,163.0613929592073
