timestamp_utc,index,name,memory_used_mib,memory_total_mib,utilization_gpu_percent,power_draw_watts,temperature_c
2026-08-11T04:59:18Z,0, NVIDIA RTX 6000D, 9619, 85651, 0, 81.01, 34
2026-08-11T04:59:19Z,0, NVIDIA RTX 6000D, 9619, 85651, 0, 81.00, 34
2026-08-11T04:59:20Z,0, NVIDIA RTX 6000D, 9619, 85651, 0, 80.98, 34
2026-08-11T04:59:21Z,0, NVIDIA RTX 6000D, 13915, 85651, 4, 136.11, 36
2026-08-11T04:59:22Z,0, NVIDIA RTX 6000D, 13919, 85651, 99, 273.10, 43
2026-08-11T04:59:23Z,0, NVIDIA RTX 6000D, 13919, 85651, 67, 275.80, 42
2026-08-11T04:59:24Z,0, NVIDIA RTX 6000D, 13919, 85651, 79, 275.61, 42
2026-08-11T04:59:25Z,0, NVIDIA RTX 6000D, 13919, 85651, 73, 257.82, 42
2026-08-11T04:59:26Z,0, NVIDIA RTX 6000D, 13919, 85651, 13, 101.22, 37
2026-08-11T04:59:28Z,0, NVIDIA RTX 6000D, 13919, 85651, 7, 84.69, 37
2026-08-11T04:59:29Z,0, NVIDIA RTX 6000D, 13919, 85651, 7, 84.61, 37
2026-08-11T04:59:30Z,0, NVIDIA RTX 6000D, 13919, 85651, 0, 84.76, 37
2026-08-11T04:59:31Z,0, NVIDIA RTX 6000D, 13919, 85651, 0, 83.12, 37
2026-08-11T04:59:32Z,0, NVIDIA RTX 6000D, 13919, 85651, 0, 82.25, 37
2026-08-11T04:59:33Z,0, NVIDIA RTX 6000D, 13919, 85651, 0, 82.03, 37
2026-08-11T04:59:34Z,0, NVIDIA RTX 6000D, 13919, 85651, 0, 82.07, 37
2026-08-11T04:59:35Z,0, NVIDIA RTX 6000D, 13919, 85651, 0, 82.95, 37
2026-08-11T04:59:36Z,0, NVIDIA RTX 6000D, 13919, 85651, 0, 83.85, 37
2026-08-11T04:59:37Z,0, NVIDIA RTX 6000D, 13919, 85651, 0, 82.86, 37
2026-08-11T04:59:38Z,0, NVIDIA RTX 6000D, 13919, 85651, 0, 81.68, 37
2026-08-11T04:59:39Z,0, NVIDIA RTX 6000D, 13919, 85651, 0, 81.99, 37
2026-08-11T04:59:41Z,0, NVIDIA RTX 6000D, 13919, 85651, 0, 82.01, 37
2026-08-11T04:59:42Z,0, NVIDIA RTX 6000D, 13919, 85651, 0, 81.99, 37
2026-08-11T04:59:43Z,0, NVIDIA RTX 6000D, 13919, 85651, 0, 82.60, 37
