timestamp_utc,index,name,memory_used_mib,memory_total_mib,utilization_gpu_percent,power_draw_watts,temperature_c
2026-08-11T05:38:21Z,0, NVIDIA RTX 6000D, 13919, 85651, 85, 280.96, 60
2026-08-11T05:38:23Z,0, NVIDIA RTX 6000D, 13919, 85651, 89, 237.07, 59
2026-08-11T05:38:25Z,0, NVIDIA RTX 6000D, 13919, 85651, 0, 241.31, 56
2026-08-11T05:38:28Z,0, NVIDIA RTX 6000D, 13919, 85651, 78, 279.86, 61
2026-08-11T05:38:30Z,0, NVIDIA RTX 6000D, 13919, 85651, 97, 292.20, 61
2026-08-11T05:38:32Z,0, NVIDIA RTX 6000D, 13919, 85651, 85, 272.60, 60
2026-08-11T05:38:34Z,0, NVIDIA RTX 6000D, 13919, 85651, 100, 286.63, 60
2026-08-11T05:38:36Z,0, NVIDIA RTX 6000D, 13919, 85651, 80, 289.58, 59
2026-08-11T05:38:38Z,0, NVIDIA RTX 6000D, 13919, 85651, 78, 278.63, 60
2026-08-11T05:38:40Z,0, NVIDIA RTX 6000D, 13919, 85651, 65, 271.59, 60
2026-08-11T05:38:42Z,0, NVIDIA RTX 6000D, 13919, 85651, 89, 281.64, 61
2026-08-11T05:38:44Z,0, NVIDIA RTX 6000D, 13919, 85651, 88, 280.71, 61
2026-08-11T05:38:46Z,0, NVIDIA RTX 6000D, 13919, 85651, 94, 259.50, 60
2026-08-11T05:38:48Z,0, NVIDIA RTX 6000D, 13919, 85651, 74, 277.56, 60
2026-08-11T05:38:50Z,0, NVIDIA RTX 6000D, 13919, 85651, 71, 282.84, 62
2026-08-11T05:38:52Z,0, NVIDIA RTX 6000D, 13919, 85651, 85, 275.22, 63
2026-08-11T05:38:55Z,0, NVIDIA RTX 6000D, 13919, 85651, 100, 249.94, 61
2026-08-11T05:38:57Z,0, NVIDIA RTX 6000D, 13919, 85651, 94, 279.36, 61
2026-08-11T05:38:59Z,0, NVIDIA RTX 6000D, 13919, 85651, 78, 288.20, 64
2026-08-11T05:39:01Z,0, NVIDIA RTX 6000D, 13919, 85651, 100, 290.82, 63
2026-08-11T05:39:03Z,0, NVIDIA RTX 6000D, 13919, 85651, 67, 255.70, 63
2026-08-11T05:39:05Z,0, NVIDIA RTX 6000D, 13919, 85651, 93, 300.73, 65
2026-08-11T05:39:07Z,0, NVIDIA RTX 6000D, 13919, 85651, 94, 309.06, 66
2026-08-11T05:39:09Z,0, NVIDIA RTX 6000D, 13919, 85651, 100, 284.36, 65
2026-08-11T05:39:11Z,0, NVIDIA RTX 6000D, 13919, 85651, 80, 285.59, 64
2026-08-11T05:39:13Z,0, NVIDIA RTX 6000D, 13919, 85651, 87, 289.55, 65
2026-08-11T05:39:15Z,0, NVIDIA RTX 6000D, 13919, 85651, 83, 250.53, 66
2026-08-11T05:39:17Z,0, NVIDIA RTX 6000D, 13919, 85651, 100, 261.41, 64
