episode_index,seed,model_call_index,control_step,latency_ms
8,1008,24,240,169.63035892695189
8,1008,25,250,169.92127196863294
8,1008,26,260,170.9857676178217
8,1008,27,270,170.12866400182247
8,1008,28,280,170.23588810116053
8,1008,29,290,169.919369276613
8,1008,30,300,170.49546400085092
8,1008,31,310,170.30218662694097
8,1008,32,320,170.22466007620096
8,1008,33,330,170.49395386129618
8,1008,34,340,170.11558497324586
8,1008,35,350,170.4605370759964
8,1008,36,360,169.86196488142014
8,1008,37,370,168.9033806324005
8,1008,38,380,168.63886173814535
8,1008,39,390,168.82138699293137
8,1008,40,400,170.01426732167602
8,1008,41,410,169.1741719841957
8,1008,42,420,169.66167418286204
8,1008,43,430,168.94769109785557
8,1008,44,440,170.3123999759555
8,1008,45,450,169.87987328320742
8,1008,46,460,169.65224221348763
8,1008,47,470,170.12448608875275
8,1008,48,480,169.07197888940573
8,1008,49,490,169.9305698275566
8,1008,50,500,168.95151464268565
8,1008,51,510,169.3997192196548
9,1009,0,0,191.57912116497755
9,1009,1,10,230.86948227137327
9,1009,2,20,170.86194409057498
9,1009,3,30,221.81860590353608
9,1009,4,40,170.1808450743556
9,1009,5,50,170.78659776598215
9,1009,6,60,206.22323406860232
9,1009,7,70,204.58896877244115
9,1009,8,80,238.9594237320125
9,1009,9,90,220.91230796650052
9,1009,10,100,169.81946909800172
9,1009,11,110,172.86221077665687
9,1009,12,120,206.94864401593804
9,1009,13,130,170.79787328839302
9,1009,14,140,170.58417992666364
9,1009,15,150,170.28454411774874
9,1009,16,160,170.78367713838816
9,1009,17,170,170.54401896893978
9,1009,18,180,171.74925794824958
9,1009,19,190,170.43548310175538
9,1009,20,200,172.7554309181869
9,1009,21,210,171.32112476974726
9,1009,22,220,171.03943601250648
9,1009,23,230,170.45786790549755
9,1009,24,240,170.30730657279491
9,1009,25,250,170.6799939274788
9,1009,26,260,170.86691269651055
9,1009,27,270,170.44281121343374
9,1009,28,280,170.77983869239688
9,1009,29,290,169.6727997623384
9,1009,30,300,170.80392502248287
9,1009,31,310,170.66924180835485
9,1009,32,320,170.28005421161652
9,1009,33,330,213.85598182678223
9,1009,34,340,170.79517664387822
9,1009,35,350,170.5545079894364
9,1009,36,360,170.9754872135818
9,1009,37,370,169.94280740618706
9,1009,38,380,170.76085088774562
9,1009,39,390,170.9828437305987
9,1009,40,400,170.66008131951094
9,1009,41,410,170.64722115173936
9,1009,42,420,170.30194401741028
9,1009,43,430,229.48136879131198
9,1009,44,440,171.22081387788057
9,1009,45,450,170.47656187787652
9,1009,46,460,170.5661560408771
9,1009,47,470,170.53176229819655
9,1009,48,480,169.15645822882652
9,1009,49,490,213.71093578636646
9,1009,50,500,222.91124425828457
9,1009,51,510,212.84807985648513
